Product,Date,Time,SN,MAC,Result,Filename
TN-86_PICO-IMX7,2026-01-07,09:40:22,513126020214,001F7B6BD16A_001F7B6BD16B,PASS,20260107_094022_513126020214_001F7B6BD16A_001F7B6BD16B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:40:33,513126020216,001F7B6BD16E_001F7B6BD16F,PASS,20260107_094033_513126020216_001F7B6BD16E_001F7B6BD16F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:40:48,513126020218,001F7B6BD172_001F7B6BD173,PASS,20260107_094048_513126020218_001F7B6BD172_001F7B6BD173_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:41:23,513126020231,001F7B6BD18C_001F7B6BD18D,PASS,20260107_094123_513126020231_001F7B6BD18C_001F7B6BD18D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:42:44,513126020229,001F7B6BD188_001F7B6BD189,PASS,20260107_094244_513126020229_001F7B6BD188_001F7B6BD189_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:43:58,513126020227,001F7B6BD184_001F7B6BD185,PASS,20260107_094358_513126020227_001F7B6BD184_001F7B6BD185_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:45:59,513126020213,001F7B6BD168_001F7B6BD169,PASS,20260107_094559_513126020213_001F7B6BD168_001F7B6BD169_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:47:27,513126020230,001F7B6BD18A_001F7B6BD18B,PASS,20260107_094727_513126020230_001F7B6BD18A_001F7B6BD18B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:47:55,513126020093,001F7B6BD078_001F7B6BD079,PASS,20260107_094755_513126020093_001F7B6BD078_001F7B6BD079_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:48:05,513126020222,001F7B6BD17A_001F7B6BD17B,PASS,20260107_094805_513126020222_001F7B6BD17A_001F7B6BD17B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:48:51,513126020024,001F7B6BCFEE_001F7B6BCFEF,PASS,20260107_094851_513126020024_001F7B6BCFEE_001F7B6BCFEF_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:50:53,513126020075,001F7B6BD054_001F7B6BD055,PASS,20260107_095053_513126020075_001F7B6BD054_001F7B6BD055_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:51:04,513126020019,001F7B6BCFE4_001F7B6BCFE5,PASS,20260107_095104_513126020019_001F7B6BCFE4_001F7B6BCFE5_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:51:53,513126020021,001F7B6BCFE8_001F7B6BCFE9,PASS,20260107_095153_513126020021_001F7B6BCFE8_001F7B6BCFE9_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:52:17,513126020020,001F7B6BCFE6_001F7B6BCFE7,PASS,20260107_095217_513126020020_001F7B6BCFE6_001F7B6BCFE7_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:55:50,513126020071,001F7B6BD04C_001F7B6BD04D,PASS,20260107_095550_513126020071_001F7B6BD04C_001F7B6BD04D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:56:33,513126020092,001F7B6BD076_001F7B6BD077,PASS,20260107_095633_513126020092_001F7B6BD076_001F7B6BD077_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:57:32,513126020079,001F7B6BD05C_001F7B6BD05D,PASS,20260107_095732_513126020079_001F7B6BD05C_001F7B6BD05D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:06:23,513126020045,001F7B6BD018_001F7B6BD019,PASS,20260107_100623_513126020045_001F7B6BD018_001F7B6BD019_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:06:51,513126020047,001F7B6BD01C_001F7B6BD01D,PASS,20260107_100651_513126020047_001F7B6BD01C_001F7B6BD01D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:16:25,513126020074,001F7B6BD052_001F7B6BD053,PASS,20260107_101625_513126020074_001F7B6BD052_001F7B6BD053_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:18:01,513126020081,001F7B6BD060_001F7B6BD061,PASS,20260107_101801_513126020081_001F7B6BD060_001F7B6BD061_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:19:20,513126020050,001F7B6BD022_001F7B6BD023,PASS,20260107_101920_513126020050_001F7B6BD022_001F7B6BD023_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:19:52,513126020040,001F7B6BD00E_001F7B6BD00F,PASS,20260107_101952_513126020040_001F7B6BD00E_001F7B6BD00F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:21:17,513126020049,001F7B6BD020_001F7B6BD021,PASS,20260107_102117_513126020049_001F7B6BD020_001F7B6BD021_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:21:48,513126020072,001F7B6BD04E_001F7B6BD04F,PASS,20260107_102148_513126020072_001F7B6BD04E_001F7B6BD04F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:23:38,513126020038,001F7B6BD00A_001F7B6BD00B,PASS,20260107_102338_513126020038_001F7B6BD00A_001F7B6BD00B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:27:12,513126020052,001F7B6BD026_001F7B6BD027,PASS,20260107_102712_513126020052_001F7B6BD026_001F7B6BD027_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:29:43,513126020039,001F7B6BD00C_001F7B6BD00D,PASS,20260107_102943_513126020039_001F7B6BD00C_001F7B6BD00D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:31:34,513126020054,001F7B6BD02A_001F7B6BD02B,PASS,20260107_103134_513126020054_001F7B6BD02A_001F7B6BD02B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:32:19,513126020048,001F7B6BD01E_001F7B6BD01F,PASS,20260107_103219_513126020048_001F7B6BD01E_001F7B6BD01F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:33:59,513126020053,001F7B6BD028_001F7B6BD029,PASS,20260107_103359_513126020053_001F7B6BD028_001F7B6BD029_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:36:58,513126020042,001F7B6BD012_001F7B6BD013,PASS,20260107_103658_513126020042_001F7B6BD012_001F7B6BD013_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:37:40,513126020022,001F7B6BCFEA_001F7B6BCFEB,PASS,20260107_103740_513126020022_001F7B6BCFEA_001F7B6BCFEB_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:38:07,513126020023,001F7B6BCFEC_001F7B6BCFED,PASS,20260107_103807_513126020023_001F7B6BCFEC_001F7B6BCFED_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:40:02,513126020044,001F7B6BD016_001F7B6BD017,PASS,20260107_104002_513126020044_001F7B6BD016_001F7B6BD017_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:40:33,513126020046,001F7B6BD01A_001F7B6BD01B,PASS,20260107_104033_513126020046_001F7B6BD01A_001F7B6BD01B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:41:07,513126020037,001F7B6BD008_001F7B6BD009,PASS,20260107_104107_513126020037_001F7B6BD008_001F7B6BD009_PASS.txt
